artist_name,track_id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity
Midnite String Quartet,30onrKEgOU8OGXbyF7zLyI,Zombie,0.804,0.413,278437,0.127,0.184,7,0.158,-19.786,1,0.0494,127.876,4,0.33,23
Dominic Lewis,4dgAsyNxHq3tEQXCVS9J6o,Peter Rabbit Suite,0.667,0.318,274068,0.406,0.616,0,0.103,-10.325,1,0.0322,149.847,5,0.243,35
Marisela,1DpbuEjJLlZfUIQ4C62KIf,Arrepentida,0.652,0.7440000000000001,237240,0.319,1.6e-05,5,0.1639999999999999,-14.415,1,0.0282,104.702,4,0.7959999999999999,29
Hello Harry,4UmEsQfneIu3lXBJ8SyjPZ,Rio,0.18,0.7659999999999999,233898,0.693,0.0249,9,0.0615,-8.613999999999999,0,0.0478,117.976,4,0.481,12
Hayseed Dixie,2oSz0Wc5gXkIpE6h0uDifX,Let's Get It On - Live in Scotland,0.63,0.497,165719,0.5589999999999999,0.0,2,0.353,-6.162999999999999,1,0.0658,126.716,5,0.523,15
Jus2,1JQPZKIXKU3wdOSjk2ILgM,FOCUS ON ME,0.0974,0.797,216458,0.767,1.32e-05,0,0.1009999999999999,-3.286,0,0.151,98.988,4,0.536,68
Danny Elfman,0bAiFxBaEfMcQnKhOaHV9m,Grinch's Wild Ride,0.691,0.243,162093,0.483,0.8079999999999999,0,0.278,-10.812,1,0.0465,140.922,4,0.0607,12
Calvin Harris,6Iog4lmk14dVm97ZAokg17,One Kiss (with Dua Lipa) - King Britt Remix,0.000458,0.639,364782,0.741,0.0709,4,0.119,-6.841,0,0.0488,125.0,4,0.412,51
Siggno,3EmWBWxJEdtNeqeN9pTtGB,Un Poquito,0.5,0.601,227427,0.526,0.0,7,0.355,-5.147,1,0.0278,136.19899999999998,4,0.428,29
Saul El Jaguar Alarcón,00lW6pEc0R7G7EuJo8Fg0u,Voy A Calar Con Otra Boca,0.367,0.6609999999999999,185973,0.7390000000000001,0.0,5,0.2769999999999999,-5.138,1,0.0408,112.418,4,0.821,29
Fit For A King,1nsIK6mRuyBliSIoQYFCH6,Debts of the Soul,0.0019399999999999,0.46,158087,0.53,0.789,8,0.193,-7.582999999999999,0,0.0318,140.046,4,0.349,44
Comethazine,63KKvdfkStMHQM4Ufzx2KB,Let It Eat (feat. Ugly God),0.00754,0.944,87313,0.752,0.0107,11,0.141,-2.625,0,0.135,134.039,4,0.489,69
Nipsey Hussle,0pBcI8Gf1Oe3ziIbE9tBsX,Young Nigga (feat. Puff Daddy),0.261,0.502,236547,0.64,0.0,11,0.118,-5.6739999999999995,0,0.357,99.804,4,0.113,71
Jawga Boyz,3YxIS0OyoPyaqVpSBBmtfc,Diesels and Shotguns,0.125,0.853,178701,0.645,0.0,6,0.0945,-9.644,0,0.0738,130.029,4,0.248,34
Johnny Orlando,3GarMrGrOc5asepBOBQnWT,Waste My Time,0.175,0.6759999999999999,162600,0.5660000000000001,0.0,9,0.0928,-6.044,1,0.0569,153.939,4,0.657,61
Twenty One Pilots,7I3skNaQdvZSS7zXY2VHId,The Hype,0.0105,0.53,265373,0.816,0.00061,9,0.379,-6.149,1,0.0503,87.01899999999999,4,0.371,72
Olly Murs,4CeAZYjm7YcIf4ONO5eEiR,Wrapped Up,0.105,0.7929999999999999,185853,0.8440000000000001,0.0,1,0.0909,-5.142,1,0.0528,122.029,4,0.935,23
Juice WRLD,6phY2gnvf9WwCiXlLMQOY3,HeMotions,0.667,0.561,187211,0.76,0.0,2,0.106,-7.194,1,0.264,163.938,4,0.317,79
What About You,1SvsSYGze5nqVMwSEFNICi,Despite Every Obstacle,0.994,0.44,134318,0.105,0.887,4,0.3429999999999999,-23.497,1,0.0542,172.602,4,0.124,23
Ludwig van Beethoven,1uMgTrEi1KJTneOF0ErVJN,"Piano Sonata No. 15 in D Major, Op. 28 ""Pastoral"": I. Allegro",0.987,0.254,565090,0.0525,0.86,2,0.092,-24.994,1,0.0427,68.90100000000001,4,0.1009999999999999,20
Frédéric Chopin,3NvH8ugxS4YP4xbCSTr6qc,"Études, Op. 10: IX. Etude in F Minor",0.954,0.346,158933,0.0587,0.8859999999999999,1,0.11,-24.59,1,0.0408,127.312,4,0.0795,20
Kadeem Tyrell,060eJ9B1LFi7INFiIXOZj7,Let Me Know,0.564,0.627,248503,0.535,0.000154,11,0.384,-6.468999999999999,0,0.185,85.023,4,0.597,35
TOKiMONSTA,00ody8Rvlp5Sja9ztCz2gZ,Early to Dawn (feat. Selah Sue) [Plastic Plates Remix],0.00121,0.733,337639,0.626,0.743,1,0.0908,-11.015,1,0.0418,108.025,4,0.0922,28
Andrew Lloyd Webber,2Hu17lKDU0dhmvUhJWVygq,"As If We Never Said Goodbye - From ""Sunset Boulevard""",0.88,0.285,277093,0.223,5.09e-05,8,0.157,-11.14,1,0.0312,106.79,3,0.174,24
Zhavia Ward,6TCW0OXyzUHN5QCCIj7Hr8,Candlelight (feat. Jeremih) - Remix,0.3939999999999999,0.495,189493,0.53,0.0,2,0.173,-7.283,1,0.182,137.113,4,0.494,55
Bicaldi Bunny,57dX4DUV6jpUEYumGRY4H9,Starstruck,0.0436,0.662,111173,0.467,0.944,8,0.3379999999999999,-15.283,1,0.0465,95.032,4,0.76,22
Don Q,1IbeTCmfz5GQ1Y07CH4vCm,Rap Memorial,0.631,0.794,132676,0.6659999999999999,0.0,1,0.162,-4.027,0,0.3429999999999999,141.993,4,0.487,32
John Craigie,66riK8lmIIEEcLLBwjDYZJ,Sad Songs About My Feelings (Live),0.831,0.597,185214,0.3229999999999999,0.0,0,0.684,-14.664,0,0.945,74.32,4,0.455,19
Tito Torbellino Jr,7vcu1mVIOlNU8WJVkPSnJM,Diablo Debajo del Asiento,0.272,0.7090000000000001,154565,0.763,0.0,5,0.104,-6.0920000000000005,1,0.0488,113.743,3,0.8909999999999999,43
Sarah Davachi,0H9TP2Cx9IBTGy0JpYEEKF,At Hand,0.994,0.184,365141,0.0039299999999999,0.967,7,0.0843,-36.871,0,0.0578,70.819,4,0.158,23
tofubeats,0bAm5w73IyOfqzeNXhE1Yb,ふめつのこころ,0.0386,0.557,198281,0.971,0.0,5,0.345,-3.971,0,0.0662,179.96599999999998,4,0.941,40
Los Socios Del Ritmo,2SrChGCiJhmVzbsrfDwhtW,La Flor de Chapopote,0.3979999999999999,0.764,176680,0.401,2.96e-06,5,0.1889999999999999,-12.325,1,0.0825,93.212,4,0.947,26
Omar Perry,1eadYEv6yeLLDG0vmXb79s,Sound the Trumpet,0.00412,0.6859999999999999,263800,0.6809999999999999,0.0,8,0.111,-4.527,1,0.0705,150.055,4,0.555,18
Gradur,016CNVVPkGR7QA8oNRhPxL,Sheguey 12,0.264,0.7829999999999999,138583,0.489,0.0,8,0.107,-15.5,1,0.4039999999999999,89.912,3,0.727,51
Pentatonix,7klqcDdyk3laSiOtxNrygB,Where Are You Christmas?,0.355,0.254,210533,0.318,0.0,10,0.109,-6.992000000000001,1,0.0312,114.636,4,0.2,42
Lil Duke,6ITXSk5Ge3K2ud0s1mydW1,Made It Out the Trap,0.2689999999999999,0.86,140800,0.5660000000000001,0.0,1,0.285,-8.133,1,0.373,136.934,4,0.44,18
Edis,4YNFjooq5vbXPVhrLJR5Px,Çok Çok,0.0283,0.758,201429,0.748,0.0,2,0.11,-5.666,0,0.0705,97.986,4,0.608,42
Justin Hurwitz,33WEwYZVLUtuYOHSEtVBlg,Quarantine,0.967,0.291,135107,0.0478,0.923,1,0.103,-27.58,0,0.0334,93.516,3,0.295,65
Matt Caseli,28RXRyrSmFtV0OiV3QmiIT,Losing My Mind - Club Mix,0.000543,0.61,163200,0.955,0.723,1,0.0996,-6.864,0,0.0383,125.023,4,0.782,16
Naps,4dytIuAygt7ROaGnlhM4U2,Non non,0.188,0.615,147920,0.848,3.34e-05,5,0.126,-6.747000000000001,0,0.1009999999999999,195.814,4,0.3,44
